Nome,Livello,Scuola,Classi,Tempo di lancio,Gittata,Componenti,Durata,Descrizione
INTIMORIRE INFERNALE,1,Invocazione,warlock,"reazione, che l'incantatore effettua quando subisce danni da una creatura che è in grado di vedere entro 1 8  metri da sé",18 metri,"V, S",istantanea,"La creatura che ha inflitto danni all'incantatore viene temporaneamente avviluppata da fiamme verdi. La crea­ tura effettua un tiro salvezza su Destrezza, subendo 2d10 danni da fuoco in caso di fallimento, o la metà dei danni in caso di successo. Utilizzo di uno slot incantesimo di livello superiore. I danni aumentano di ldlO per ogni slot di livello superiore al 1°. INTRALCIARE"
INTRALCIARE,1,Evocazione,"druido, ranger",azione,27 metri,"V, S","concentrazione, fino a l minuto","Dei vegetali afferranti spuntano dal terreno in un qua­ drato di 6 metri per lato in un punto situato entro gittata. Per la durata dell'incantesimo, i vegetali trasformano quell'area in un terreno difficile. I vegetali scompaiono al termine dell'incantesimo. Quando viene lanciato l'incantesimo, ogni creatura diversa dall'incantatore all'interno dell'area deve superare un tiro salvezza su Forza, altrimenti è trattenuta fino al termine dell'incantesimo. Le creature trattenute possono usare un'azione per effettuare una prova di Forza (Atletica) contro la CD del tiro salvezza sull'incantesimo. In caso di successo, si liberano dai vegetali afferranti e non sono più trattenute. ....- INVERSIONE DELLA GRAVITÀ"
INVERSIONE DELLA GRAVITÀ,7,Trasmutazione,"druido, mago, stregone",azione,30 metri,"V, S, M (una calamita e limatura di ferro)","concentrazione, fino a l minuto","Questo incantesimo inverte la gravità all'interno di un cilindro del raggio di 15 metri e dell'altezza di 30 metri centrato su un punto entro gittata. Tutte le creature e gli oggetti presenti nell'area che non sono ancorati al terreno vengono trascinati verso l'alto e raggiungono la parte superiore del cilindro. Una creatura può effettuare un tiro salvezza su Destrezza per afferrare un oggetto ancorato entro portata, evitando così di essere trascinata verso l'alto. Se un soffitto o un oggetto ancorato viene urtato durante questa caduta, gli oggetti e le creature subiscono un impatto identico a quello che subirebbero durante una normale caduta verso il basso. Se una creatura o un oggetto influenzato arriva in cima al cilindro senza colpire niente, rimane lì a fluttuare per la durata dell'incantesimo. Al termine dell'incantesimo, le creature e gli oggetti influenzati cadono verso il basso. INVIARE"
INVIARE,3,Divinazione,"bardo, chierico, mago",azione,illimitata,"V, S, M (un filo di rame)",istantanea,"L'incantatore invia un breve messaggio di un massimo di 25 parole a una creatura che ha incontrato o a una creatura che gli è stata descritta da qualcuno che ha conosciuto. Il bersaglio sente il messaggio nella sua mente, riconosce l'incantatore come colui che l'ha inviato e può rispondere immediatamente allo stesso modo. L'incan­ tesimo consente ai bersagli di comprendere il significato del messaggio dell'incantatore. L'incantatore può inviare il messaggio a qualsiasi distanza e perfino ad altri piani di esistenza, ma se il bersaglio si trova su un piano di esistenza diverso dal suo, c'è una probabilità del 5% che il messaggio non arrivi. Se l'invio del messaggio fallisce, l'incantatore se ne rende conto. Quando riceve il messaggio, una creatura può bloccare la capacità dell'incantatore di contattarla nuovamente tramite questo incantesimo per 8 ore. Se l'incantatore cerca di inviare un altro messaggio durante quel periodo, capisce di essere stato bloccato e l'incantesimo fallisce. INVISIBILITÀ"
INVISIBILITÀ,2,Illusione,"bardo, mago, stregone, warlock",azione,contatto,"V, S, M (un ciglio in uno strato di resina)","concentrazione, fino a 1 ora","Una creatura toccata dall'incantatore diventa invisibile fino al termine dell'incantesimo. L'incantesimo termina immediatamente quando il bersaglio effettua un tiro per colpire, infligge danni o lancia un incantesimo. Utilizzo di uno slot incantesimo di livello superiore. L'incantatore può bersagliare una creatura aggiuntiva per ogni slot di livello superiore al 2°. INVISIBILITÀ SUPERIORE"
INVISIBILITÀ SUPERIORE,4,Illusione,"bardo, mago, stregone",azione,contatto,"V, S","concentrazione, fino a 1 minuto",Una creatura toccata dall'incantatore diventa invisibile fino al termine dell'incantesimo. INVOCARE IL FULMINE
INVOCARE IL FULMINE,3,Evocazione,druido,azione,36 metri,"V, S","concentrazione, fino a 1 0  minuti","Una nube di tempesta appare in un punto situato entro gittata che l'incantatore è in grado di vedere sopra di sé. Ha la forma di un cilindro alto 3 metri con un raggio di 18 metri. Quando lancia questo incantesimo, l'incantatore sceglie un punto che è in grado di vedere al di sotto della nube, dove si abbatte un fulmine originato da essa. Ogni crea­ tura entro un raggio di 1,5 metri da quel punto effettua un tiro salvezza su Destrezza; se lo fallisce, subisce 3d10 danni da fulmine, mentre se lo supera subisce la metà di quei danni. Fino al termine dell'incantesimo, l'incantatore può effettuare un'azione di Magia per richiamare il fulmine in questo modo, bersagliando lo stesso punto o un punto diverso. Se l'incantatore lancia questo incantesimo mentre si trova all'aperto durante una tempesta, l'incantesimo permette di controllare quella tempesta invece di crearne una nuova. In queste condizioni, i danni provocati dall'in­ cantesimo aumentano di ldlO. Utilizzo di uno slot incantesimo di livello superiore. I danni aumentano di ldlO per ogni slot di livello superiore al 3°. LABIRINTO"
LABIRINTO,8,Evocazione,mago,azione,18 metri,"V, S","concentrazione, fino a 1 0  minuti","L'incantatore bandisce una creatura entro gittata che è in grado di vedere in un semipiano labirintico. Il bersa­ glio rimane laggiù per la durata dell'incantesimo o finché non fugge dal labirinto. Il bersaglio può effettuare un'azione di Studio per pro­ vare a fuggire. Quando questo avviene, effettua una prova di Intelligenza (Indagare) con CD 20. In caso di successo, il bersaglio fugge e l'incantesimo termina. Al termine dell'incantesimo, il bersaglio riappare nello spazio in cui si trovava prima del lancio o, se è occupato, nello spazio libero più vicino. LAMA INFUOCATA"
LAMA INFUOCATA,2,Invocazione,"druido, stregone",azione bonus,incantatore,"V, S, M (una foglia di sommacco)","concentrazione, fino a 1 0  minuti","L'incantatore evoca una lama infuocata nella sua mano libera. La lama ha forma e dimensioni simili a una scimi­ tarra e permane per la durata dell'incantesimo. Se l'incan­ tatore la lascia cadere, la lama scompare, ma può essere evocata di nuovo come azione bonus. Come azione di Magia, l'incantatore può effettuare un attacco in mischia con la lama infuocata. Se il colpo va a segno, il bersaglio subisce 3d6 danni da fuoco più il modificatore di caratteristica da incantatore dell'incantatore. La lama infuocata emana luce intensa in un raggio di 3 metri e luce fioca per ulteriori 3 metri. Utilizzo di uno slot incantesimo di livello superiore. I danni aumentano di ld6 per ogni slot di livello superiore al 2°. LEGAME PLANARE"
LEGAME PLANARE,5,Abiurazione,"bardo, chierico, druido, mago, warlock",1 ora,18 metri,"V, S, M (un gioiello del valore di 1 .000 mo o più, che l ' incantesimo consuma)",24 ore,"L'incantatore tenta di vincolare un celestiale, un elementale, un folletto o un immondo al suo servizio. La creatura deve trovarsi entro gittata per l'intera durata del lancio dell'incantesimo (in genere, la creatura viene prima evocata al centro di una versione invertita dell'incantesimo cerchio magico per tenerla intrappolata mentre questo incantesimo viene lanciato). Completato il lancio dell'incantesimo, il bersaglio deve superare un tiro salvezza su Carisma, altrimenti è obbligato a servire l'incantatore per la durata dell'incantesimo. Se la creatura è stata evocata o creata da un altro incantesimo, la durata di quell'incantesimo viene estesa per corrispondere alla durata di questo. Una creatura vincolata deve eseguire gli ordini al meglio delle sue capacità. L'incantatore potrebbe ordinarle di accompagnarlo in un'avventura, di proteggere un luogo o di consegnare un messaggio. Se la creatura è ostile, cercherà in tutti i modi di distorcere gli ordini dell'in­ cantatore per perseguire i suoi obiettivi personali. Se la creatura porta a termine gli ordini dell'incantatore prima del termine dell'incantesimo, si reca da lui per riferirglielo, ma solo se si trovano sullo stesso piano di esistenza. Se l'incantatore si trova su un piano diverso, la creatura ritorna nel luogo in cui è stata vincolata e vi rimane fino al termine dell'incantesimo. Utilizzo di uno slot incantesimo di livello superiore. La durata aumenta con uno slot incantesimo di 6° livello (10 giorni), di 7° livello (30 giorni), di 8° livello (180 giorni) e di 9° livello (366 giorni). LEGAME TELEPATICO DI RARY"
LEGAME TELEPATICO DI RARY,5,Divinazione,"bardo, mago",azione o rituale,9 metri,"V, S, M (due uova)",1 ora,"L'incantatore stringe un legame telepatico con un massimo di otto creature consenzienti a sua scelta entro gittata, collegando mentalmente ogni creatura a tutte le altre per la durata dell'incantesimo. Le creature che non sono in grado di comunicare in nessuna lingua, non sono influenzate da questo incantesimo. Fino al termine dell'incantesimo, i bersagli possono comunicare telepaticamente attraverso il legame, a prescindere dal fatto che condividano la stessa lingua. La comunicazione è possibile attraverso qualsiasi distanza, ma non può estendersi ad altri piani di esistenza. LENTEZZA"
LENTEZZA,3,Trasmutazione,"bardo, mago, stregone",azione,36 metri,"V, S, M (una goccia di melassa)","concentrazione, fino a 1 minuto","L'incantatore altera il tempo intorno a un massimo di sei creature a sua scelta all'interno in un cubo con spigolo di 12 metri entro gittata. Ogni bersaglio deve superare un tiro salvezza su Saggezza, altrimenti è influenzato da questo incantesimo per tutta la sua durata. Un bersaglio influenzato subisce una penalità di -2 alla CA e ai tiri salvezza su Destrezza, non può effettuare reazioni e la sua velocità è dimezzata. Quando è il suo turno, può effettuare un'azione o un'azione bonus, non entrambe. Inoltre, se sceglie di eseguire l'azione di Attacco, può sferrare un solo attacco. Se lancia un incanc tesimo con una componente somatica, ha una probabilità di fallimento del 25%, poiché l'incantatore effettua troppo lentamente i movimenti necessari al lancio. Inoltre, ripeterà il tiro salvezza alla fine di ogni suo turno. Se lo supera, l'incantesimo svanisce. r------ LEVITAZIONE"
LEVITAZIONE,2,Trasmutazione,"mago, stregone",azione,18 metri,"V, S, M (una molla in metallo)","concentrazione, fino a 1 0  minuti","Una creatura o un oggetto a scelta dell'incantatore, situato entro gittata e che egli è in grado di vedere, si solleva verticalmente fino a 6 metri rimanendo sospeso per la durata dell'incantesimo. L'incantesimo può far levi­ tare un oggetto che pesa fino a 250 kg. Una creatura non consenziente che supera un tiro salvezza su Costituzione non subisce l'effetto dell'incantesimo. Il bersaglio può muoversi soltanto spingendosi o aggrap­ pandosi a un oggetto fisso o a una superficie entro portata (come per esempio una parete o un soffitto), che gli per­ metta di muoversi come se ne stesse scalando la superficie. Nel proprio turno, l'incantatore può variare l'altitudine del bersaglio per un massimo di 6 metri in ogni direzione. Se il bersaglio è l'incantatore stesso, può muoversi verso l'alto o verso il basso come parte del suo movimento. Altrimenti, l'incantatore può usare la sua azione di Magia per muovere il bersaglio, che deve rimanere entro gittata. Il bersaglio, se è ancora sospeso, al termine dell'incante­ simo fluttua dolcemente fino a terra. LIBERTÀ DI MOVIMENTO"
LIBERTÀ DI MOVIMENTO,4,Abiurazione,"bardo, chierico, druido, ranger",azione,contatto,"V, S, M (una cinghia di cuoio)",1 ora,"L'incantatore tocca una creatura consenziente. Per la durata dell'incantesimo, il movimento del bersaglio non è influenzato dal terreno difficile, inoltre incantesimi e altri effetti magici non possono né ridurne la velocità né trattenerlo o renderlo paralizzato. Il bersaglio dispone anche di una velocità di nuoto pari alla sua velocità. Inoltre, il bersaglio può usare 1,5 metri di movimento per sfuggire automaticamente alle restrizioni non magi­ che, come un paio di manette o la presa di una creatura che lo afferra. Utilizzo di uno slot incantesimo di livello superiore. L'incantatore può bersagliare una creatura aggiuntiva per ogni slot di livello superiore al 4°. LINGUAGGI"
LINGUAGGI,3,Divinazione,"bardo, chierico, mago, stregone, warlock",azione,contatto,"V, M (una ziggurat in miniatura)",1 ora,"Questo incantesimo concede alla creatura toccata dall'in­ cantatore l'abilità di comprendere qualsiasi lingua (parlata o non) che sente o vede. Inoltre, quando comunica con parole o gesti, qualsiasi creatura che conosce almeno una lingua può comprenderla se è in grado di sentire ciò che dice o vedere i suoi gesti. LOCALIZZA ANIMALI O VEGETALI"
LOCALIZZA ANIMALI O VEGETALI,2,Divinazione,"bardo, druido, ranger",azione o rituale,i ncantatore,"V, S, M (un ciuffo di peli di un segugio)",istantanea,"L'incantatore descrive o nomina un tipo specifico di bestia o creatura vegetale, oppure un vegetale non magico. Apprende la direzione e la distanza fino alla creatura o al vegetale di quel tipo più vicino entro 7,5 chilometri, se ne è presente almeno uno. LOCALIZZA CREATURA"
LOCALIZZA CREATURA,4,Divinazione,"bardo, chierico, druido, mago, paladino, ranger",azione,incantatore,"V, S, M (un ciuffo di peli di u n  segugio)","concentrazione, fino a 1 ora","L'incantatore descrive o nomina una creatura a lui familiare, percependo la direzione della sua ubicazione se la creatura si trova entro 300 metri da lui. Se la crea­ tura è in movimento, l'incantatore apprende verso quale direzione si sta dirigendo. L'incantesimo può localizzare una creatura specifica nota all'incantatore o una creatura di un tipo specifico più vicina (come un umano o un unicorno), purché l'incan­ tatore abbia visto tale creatura da vicino (entro 9 metri) almeno una volta. Se la creatura descritta o nominata ha una forma diversa, per esempio se si trova sotto l'effetto di un incantesimo carne in pietra o metamorfosi, questo incantesimo non riesce a localizzarla. Questo incantesimo non può localizzare una creatura se uno strato di piombo blocca il percorso diretto tra essa e l'incantatore. LOCALIZZA OGGETTO"
LOCALIZZA OGGETTO,2,Divinazione,"bardo, chierico, druido, mago, paladino, ranger",azione,incantatore,"V, S, M (un ramoscello biforcuto)","concentrazione, fino a 1 0  minuti","L'incantatore descrive o nomina un oggetto a lui familiare, percependo la direzione della sua ubicazione se l'oggetto si trova entro 300 metri da lui. Se l'oggetto è in movimento, l'incantatore apprende verso quale direzione si sta dirigendo. L'incantesimo può localizzare un oggetto specifico noto all'incantatore, purché l'abbia visto da vicino (entro 9 metri) almeno una volta. In alternativa, può localizzare l'oggetto di un tipo particolare più vicino, come per esempio un certo tipo di veste, gioiello, mobile, strumento o arma. Questo incantesimo non può localizzare un oggetto se uno strato di piombo blocca il percorso diretto tra esso e l'incantatore. LOQUACITÀ"
LOQUACITÀ,8,Ammaliamento,"bardo, warlock",azione,incantatore,V,1 ora,"Fino al termine dell'incantesimo, quando l'incantatore effettua una prova di Carisma, può sostituire il risultato del tiro con un 15. Inoltre, a prescindere da ciò che dice, le magie in grado di determinare se un bersaglio stia dicendo o meno la verità indicano che l'incantatore è sincero. LUCE"
LUCE,0,Invocazione,"bardo, chierico, mago, stregone",azione,contatto,"V, M (una lucciola o del muschio fosforescente)",1 ora,"L'incantatore tocca un oggetto di taglia Grande o inferiore che non sia stato indossato o trasportato da altri. Fino al termine dell'incantesimo, l'oggetto proietta luce intensa entro un raggio di 6 metri e luce fioca per altri 6 metri. L'incantatore può scegliere il colore di luce che desidera. Coprire l'oggetto con qualcosa di opaco blocca la luce. L'incantesimo termina se l'incantatore lo lancia di nuovo. LUCE DIURNA"
LUCE DIURNA,3,Invocazione,"chierico, druido, paladino, ranger, stregone",azione,18 metri,"V, S",1 ora,"Per la durata dell'incantesimo, un fascio di luce solare si sprigiona da un punto entro gittata e riempie una sfera del raggio di 18 metri. L'area della luce solare emette luce intensa e poi luce fioca per ulteriori 18 metri. In alternativa, l'incantatore lancia l'incantesimo su un oggetto che non sia indossato o trasportato, facendo sì che la luce solare riempia un'emanazione di 18 metri di cui l'oggetto è il punto di origine. Coprire l'oggetto con qualcosa di opaco, come una ciotola o un elmo, blocca la luce solare. Se una parte dell'area di questo incantesimo si sovrap­ pone a un'area di oscurità creata da un incantesimo di 3° livello o inferiore, l'incantesimo che ha creato la luce viene dissolto. LUCE SPLENDENTE"
LUCE SPLENDENTE,0,Invocazione,"bardo, druido",azione,18 metri,"V, S",istantanea,"L'incantatore lancia un globo di luce contro una creatura o un oggetto entro gittata, effettuando un attacco a distanza con incantesimo contro il bersaglio. Se il colpo va a segno, il bersaglio subisce ld8 danni radiosi e, fino al termine del turno successivo dell'incantatore, emette luce fioca nel raggio di 3 metri e non può beneficiare della condizione di invisibilità. Trucchetto potenziato. I danni aumentano di ld8 quando l'incantatore raggiunge il 5° livello (2d8), 1'11° livello (3d8) e il 17° livello (4d8). LUCI DANZANTI"
LUCI DANZANTI,0,Illusione,"bardo, mago, stregone",azione,36 metri,"V, S, M ((un frammento di fosforo)","concentrazione, fino a 1 minuto","L'incantatore crea fino a quattro luci delle dimensioni di una torcia, facendole apparire come lanterne, torce o globi luminosi che fluttuano per la durata dell'incan­ tesimo entro la sua gittata. In alternativa, l'incantatore può fondere le quattro luci in un'unica forma luminosa di taglia Media di aspetto simile a quello umano. Qualunque sia la forma scelta, ogni luce proietta luce fioca entro un raggio di 3 metri. Come azione bonus, l'incantatore può muovere le luci per un massimo di 18 metri fino a un punto entro gittata. Ogni luce deve trovarsi entro 6 metri da un'altra luce creata da questo incantesimo. Se una delle luci supera la gittata dell'incantesimo, svanisce. LUMINESCENZA"
LUMINESCENZA,1,Invocazione,"bardo, druido",azione,18 metri,V,"concentrazione, fino a 1 minuto","Gli oggetti contenuti i n  u n  cubo con spigolo d i  6 metri entro gittata vengono evidenziati da un alone di luce blu, verde o viola (a scelta dell'incantatore). Ogni creatura pre­ sente nel cubo viene a sua volta evidenziata se fallisce un tiro salvezza su Destrezza. Per la durata dell'incantesimo, gli oggetti e le creature influenzate proiettano luce fioca entro un raggio di 3 metri e non possono beneficiare della condizione di invisibilità. I tiri per colpire contro una creatura influenzata o un oggetto influenzato dispongono di vantaggio se l'attac­ cante è in grado di vederli. MANI BRUCIANTI"
MANI BRUCIANTI,1,Invocazione,"mago, stregone",azione,incantatore,"V, S",istantanea,"Un sottile velo di fiamme si propaga dall'incantatore. Ogni creatura entro un cono di 4,5 metri effettua un tiro salvezza su Destrezza, subendo 3d6 danni da fuoco in caso di fallimento, o la metà dei danni in caso di successo. Gli oggetti infiammabili nel cono che non sono indossati o trasportati iniziano a bruciare. Utilizzo di uno slot incantesimo di livello superiore. I danni aumentano di ld6 per ogni slot di livello superiore al 1°. MANO DI BIGBY"
MANO DI BIGBY,5,Invocazione,"mago, stregone",azione,36 metri,"V, S, M (un guscio d'uovo e un guanto)","concentrazione, fino a l minuto","L'incantatore crea una mano Grande di energia magica luccicante in uno spazio libero entro gittata che è in grado di vedere. La mano permane per la durata dell'incante­ simo e si muove al comando dell'incantatore, imitando i movimenti della sua mano. La mano è un oggetto che possiede CA 20 e una quan­ tità di punti ferita pari ai punti ferita massimi dell'incan­ tatore; se scende a O punti ferita, l'incantesimo termina. La mano non occupa spazio. Quando l'incantatore lancia l'incantesimo come azione bonus nei suoi turni successivi, può muovere la mano per un massimo di 18 metri e causare uno dei seguenti effetti: Mano interposta. La mano conferisce all'incantatore mezza copertura contro gli attacchi e altri effetti che hanno origine dal suo spazio o che la attraversano. Inol­ tre, il suo spazio conta come terreno difficile per i nemici. Mano possente. La mano tenta di spingere una creatura di taglia Enorme o inferiore situata entro 1,5 metri da essa: Il bersaglio deve superare un tiro salvezza su Forza, altrimenti viene spinto dalla mano fino a una distanza pari a 1,5 metri, più un numero di metri pari a cinque volte il modificatore di caratteristica da incantatore. La mano si muove insieme al bersaglio, rimanendo entro 1,5 metri da esso. Mano stritolatrice. La mano tenta di afferrare una crea­ tura di taglia Enorme o inferiore situata entro 1,5 metri da essa. Il bersaglio deve superare un tiro salvezza su Destrezza, altrimenti viene afferrato; la CD per sfuggire alla presa è pari alla CD del tiro salvezza sull'incante­ simo dell'incantatore. Mentre la mano afferra il bersa­ glio, l'incantatore può effettuare un'azione bonus per ordinarle di stritolarlo, infliggendogli danni contundenti pari a 4d6 più il modificatore di caratteristica da incan­ tatore dell'incantatore. Pugno serrato. La mano colpisce un bersaglio che si trova entro 1,5 metri da essa. L'incantatore effettua un attacco con incantesimo in mischia. Se il colpo va a segno, il bersaglio subisce Sd8 danni da forza. Utilizzo di uno slot incantesimo di livello superiore. I danni del pugno serrato aumentano di 2d8 e quelli della mano stritolatrice di 2d6 per ogni slot di livello superiore al 5°. MANO MAGICA"
MANO MAGICA,0,Evocazione,"bardo, mago, stregone, warlock",azione,9 metri,"V, S",1 minuto,"Una mano spettrale fluttuante compare in un punto a scelta dell'incantatore situato entro gittata. La mano permane per la durata dell'incantesimo e svanisce se si trova a più di 9 metri dall'incantatore o se quest'ultimo lancia nuovamente l'incantesimo. Quando lancia l'incantesimo, l'incantatore può usare la mano per maneggiare un oggetto, aprire una porta o un contenitore che non siano chiusi a chiave, riporre o estrarre un oggetto da un contenitore aperto o versare il contenuto di una fiala. Come azione di Magia nei suoi turni successivi, l'incan­ tatore può controllare nuovamente la mano. Come parte di quell'azione, può muoverla fino a 9 metri. La mano non può attaccare, attivare oggetti magici o trasportare più di S chili. MANTO DEL CROCIATO"
MANTO DEL CROCIATO,3,Invocazione,paladino,azione,i ncantatore,V,"concentrazione, fino a l minuto","L'incantatore sprigiona un'aura magica in un'emanazione di 9 metri. Mentre sono nell'aura, l'incantatore e i suoi alleati infiggono ld4 danni radiosi extra ciascuno quando colpiscono con un'arma o con un colpo senz'armi. MARCHIO DEL CACCIATORE"
MARCHIO DEL CACCIATORE,1,Divinazione,ranger,azione bonus,27 metri,V,"concentrazione, fino a 1 ora","L'incantatore marchia magicamente come sua preda una creatura entro gittata che è in grado di vedere. Fino al termine dell'incantesimo, l'incantatore infligge ld6 danni da forza extra al bersaglio ogni volta che lo col­ pisce con un tiro per colpire. Inoltre, l'incantatore dispone di vantaggio a qualsiasi prova di Saggezza (Percezione o Sopravvivenza) che effettua per trovare il bersaglio. Se il bersaglio scende a O punti ferita prima del termine dell'incantesimo, l'incantatore può effettuare un'azione bonus per spostare il marchio su un'altra creatura entro gittata che è in grado di vedere. Utilizzo di uno slot incantesimo di livello superiore. La concentrazione dell'incantatore può durare di più utilizzando uno slot incantesimo di 3° o 4° livello (fino a 8 ore) o di 5° livello o superiore (fino a 24 ore). MESSAGGIO"
MESSAGGIO,0,Trasmutazione,"bardo, druido, mago, stregone",azione,36 metri,"S, M (un filo di rame)",1 round,"L'incantatore indica una creatura entro gittata e sussurra un messaggio. Solo il bersaglio sente il messaggio e può sussurrare una risposta che unicamente l'incantatore può sentire. F91 L'incantatore può lanciare questo incantesimo attraverso oggetti solidi se il bersaglio gli è noto e sa che si trova oltre la barriera. Tuttavia, l'incantesimo viene bloccato da silenzio magico, una sottile lamina di piombo o 30 centimetri di pietra, metallo o legno. METAMORFOSI"
METAMORFOSI,4,Trasmutazione,"bardo, druido, mago, stregone",azione,18 metri,"V, S, M (il bozzolo di un bruco)","concentrazione, fino a 1 ora","L'incantatore tenta di trasformare in bestia una creatura entro gittata che è in grado di vedere. Il bersaglio deve superare un tiro salvezza su Saggezza, altrimenti assume la forma di una bestia per la durata dell'incantesimo. La forma in cui muta può essere quella di qualsiasi bestia, a scelta dell'incantatore, il cui grado di sfida sia pari o inferiore a quello del bersaglio (o al livello del bersaglio, se esso non possiede un grado di sfida). Le statistiche di gioco del bersaglio vengono sostituite dalla scheda delle statistiche della bestia scelta, ma il bersaglio conserva il proprio allineamento, personalità, tipo di creatura, punti ferita e Dadi Vita. Vedi l'appendice B per un esempio di scheda delle statistiche di una bestia. Il bersaglio guadagna un numero di punti ferita tempo­ ranei pari ai punti ferita della forma bestiale. Questi punti ferita temporanei svaniscono quando l'incantesimo termina. Il bersaglio è limitato alle azioni che può effettuare in base alla anatomia della sua nuova forma e non può parlare o lanciare incantesimi. L'attrezzatura del bersaglio si fonde nella sua nuova forma e la creatura non può utilizzare il suo equipaggia­ mento o beneficiarne in alcun modo. METAMORFOSI PURA"
METAMORFOSI PURA,9,Trasmutazione,"bardo, mago, warlock",azione,9 metri,"V, S, M (una goccia di mercurio, una piccola quantità di resina e uno sbuffo di fumo)","concentrazione, fino a 1 ora","L'incantatore sceglie una creatura o un oggetto non magico entro gittata che è in grado di vedere La prima si trasforma in un'altra creatura o un oggetto non magico, mentre il secondo diventa una creatura (l'oggetto non deve essere né indossato né trasportato). La trasforma­ zione permane per la durata dell'incantesimo, o finché il bersaglio non muore o viene distrutto. Tuttavia, se l'incan­ tatore mantiene la concentrazione per l'intera durata, l'incantesimo ha efficacia finché non viene dissolto o una creatura non consenziente supera un tiro salvezza su Saggezza. Creatura in creatura. Se l'incantatore trasforma una creatura in un altro tipo di creatura, la nuova forma può essere di qualsiasi tipo, purché il suo grado di sfida sia pari o inferiore a quello del bersaglio (o al suo livello). L e  sue statistiche d i  gioco sono sostituite dalla scheda delle statistiche della nuova forma, mantenendo punti ferita, Dadi Vita, allineamento e personalità. Il bersaglio guadagna un numero di punti ferita tempo­ ranei pari ai punti ferita della nuova forma. Questi punti ferita temporanei svaniscono quando l'incantesimo termina. Il bersaglio è limitato alle azioni che può effettuare in base alla anatomia della sua nuova forma e non può parlare o lanciare incantesimi. L'attrezzatura del bersaglio si fonde nella sua nuova forma e la creatura non può utilizzare il suo equipaggia­ mento o beneficiarne in alcun modo. Oggetto in creatura. L'incantatore può trasformare un oggetto in un qualsiasi tipo di creatura, purché la sua taglia non sia superiore a quella dell'oggetto e il suo grado di sfida sia pari o inferiore a 9. La creatura è amichevole nei confronti dell'incantatore e dei suoi compagni e, in combattimento, obbedisce ai suoi comandi e svolge il suo turno subito dopo di lui. Tuttavia, se l'incantesimo dura per più di un'ora, l'in­ cantatore perde il controllo su di essa. Potrebbe rimanere amichevole o meno nei suoi confronti, in base a come è stata trattata. Creatura in oggetto. Se l'incantatore trasforma una creatura in un oggetto, tutto ciò che essa indossa o trasporta si fonde nella nuova forma, purché la taglia dell'oggetto non sia superiore a quella della creatura. Le statistiche della creatura diventano quelle dell'oggetto e, una volta terminato l'incantesimo e tornata nella sua forma normale, essa non ricorderà nulla del tempo tra­ scorso in quella forma. MIRAGGIO ARCANO"
MIRAGGIO ARCANO,7,Illusione,"bardo, druido, mago",1 0  minuti,vista,"V, S",1 0  giorni,"L'incantatore fa in modo che il terreno in un'area qua­ drata con lato fino a 1,5 chilometri appaia, suoni, odori e perfino risulti al tatto come un altro tipo di terreno. Un campo aperto o una strada potrebbe così sembrare una palude, una collina, un crepaccio o qualche altro tipo di terreno impervio e invalicabile. Allo stesso modo, uno stagno potrebbe apparire come un prato erboso, un preci­ pizio come un dolce pendio o un fosso irto di rocce come una strada ampia e accogliente. L'incantatore può similmente modificare l'aspetto di strutture o aggiungerne altre dove non sono presenti. Tuttavia, l'incantesimo non può camuffare, occultare o aggiungere creature. L'illusione include elementi uditivi, visivi, tattili e olfattivi, quindi può trasformare un terreno libero in un terreno difficile (o viceversa), oppure ostacolare in altri modi i movimenti all'interno dell'area. Ogni frammento di terreno illusorio (come una roccia o un bastone) che viene rimosso dall'area dell'incantesimo scompare immediatamente. Le creature con vista pura sono in grado di vedere la vera forma del terreno attraverso l'illusione; tuttavia, permangono tutti gli altri elementi dell'illusione, quindi, nonostante la creatura sia consapevole della sua presenza, può continuare a interagire fisicamente con essa. MODIFICARE MEMORIA"
