Livello,Nome Incantesimo,Classi,Descrizione Base
Level 5,MANO DI BIGBY,"Mago, Stregone","Tempo di lancio: azione Gittata: 36 metri Componenti: V, S, M (un guscio d'uovo e un guanto) Durata: concentrazione, fino a l minuto L'incantatore crea una mano Grande di energia magica luccicante in uno spazio libero entro gittata che è in grado di vedere. La mano permane per la durata dell'incante..."
Cantrip,MANO MAGICA,"Bardo, Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: 9 metri Componenti: V, S Durata: 1 minuto Una mano spettrale fluttuante compare in un punto a scelta dell'incantatore situato entro gittata. La mano permane per la durata dell'incantesimo e svanisce se si trova a più di 9 metri dall'incantatore o se quest'ultimo lanc..."
Level 3,MANTO DEL CROCIATO,Paladino,"Tempo di lancio: azione Gittata: i ncantatore Componenti: V Durata: concentrazione, fino a l minuto L'incantatore sprigiona un'aura magica in un'emanazione di 9 metri. Mentre sono nell'aura, l'incantatore e i suoi alleati infiggono ld4 danni radiosi extra ciascuno quando colpiscono con un'arma o con..."
Level 1,MARCHIO DEL CACCIATORE,Ranger,"Tempo di lancio: azione bonus Gittata: 27 metri Componenti: V Durata: concentrazione, fino a 1 ora L'incantatore marchia magicamente come sua preda una creatura entro gittata che è in grado di vedere. Fino al termine dell'incantesimo, l'incantatore infligge ld6 danni da forza extra al bersaglio ogni..."
Cantrip,MESSAGGIO,"Bardo, Druido, Mago, Stregone","Tempo di lancio: azione Gittata: 36 metri Componenti: S, M (un filo di rame) Durata: 1 round L'incantatore indica una creatura entro gittata e sussurra un messaggio. Solo il bersaglio sente il messaggio e può sussurrare una risposta che unicamente l'incantatore può sentire. F91 L'incantatore può lan..."
Level 7,MIRAGGIO ARCANO,"Bardo, Druido, Mago","Tempo di lancio: 1 0  minuti Gittata: vista Componenti: V, S Durata: 1 0  giorni L'incantatore fa in modo che il terreno in un'area qua­ drata con lato fino a 1,5 chilometri appaia, suoni, odori e perfino risulti al tatto come un altro tipo di terreno. Un campo aperto o una strada potrebbe così semb..."
Level 5,MODIFICARE MEMORIA,"Bardo, Mago","Tempo di lancio: azione Gittata: 9 metri Componenti: V, S Durata: concentrazione, fino a l minuto L'incantatore tenta di alterare i ricordi di un'altra creatura entro gittata che è in grado di vedere, la quale effettua un tiro salvezza su Saggezza. Se l'incantatore sta combat­ tendo contro la creatu..."
Level 3,MORTE APPARENTE,"Bardo, Chierico, Druido, Mago","Tempo di lancio: azione o rituale Gittata: contatto Componenti: V, S, M (un pizzico di terriccio prelevato da un cimitero) Durata: l ora L'incantatore tocca una creatura consenziente, ponendola in uno stato catatonico indistinguibile dalla morte. Per la durata dell'incantesimo, il bersaglio appare m..."
Level 2,MOVIMENTI DEL RAGNO,"Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: contatto Componenti: V, S, M (una goccia di bitume e un ragno) Durata: concentrazione, fino a l ora Fino al termine dell'incantesimo, una creatura consen­ ziente toccata dall'incantatore ottiene la capacità di muo­ versi verticalmente e orizzontalmente su pareti e so..."
Level 6,MUOVERE IL TERRENO,"Druido, Mago, Stregone","Tempo di lancio: azione Gittata: 36 metri Componenti: V, S, M (una pala in miniatura) Durata: concentrazione, fino a 2 ore L'incantatore sceglie un'area di terreno entro gittata con un lato lungo al massimo 12 metri. Per la durata dell'incantesimo, può rimodellare come desidera l'argilla, il terricc..."
Level 5,MURO DI FORZA,Mago,"Tempo di lancio: azione Gittata: 36 metri Componenti: V, S, M (un frammento di vetro) Durata: concentrazione, fino a 1 0  minuti Un muro di forza invisibile si materializza in un punto a scelta dell'incantatore situato entro gittata. Esso appare nell'orientamento che l'incantatore desidera, come bar..."
Level 4,MURO DI FUOCO,"Druido, Mago, Stregone","Tempo di lancio: azione Gittata: 36 metri Componenti: V, S, M (un pezzo di carbone) Durata: concentrazione, fino a 1 minuto L'incantatore crea un muro di fuoco su una superficie solida entro gittata. Il muro può essere lungo fino a 18 metri, alto 6 metri e spesso 30 cm, oppure essere un muro circola..."
Level 6,MURO DI GHIACCIO,Mago,"Tempo di lancio: azione Gittata: 36 metri Componenti: V, S, M (un pezzo di quarzo) Durata: concentrazione, fino a 1 0  minuti L'incantatore crea un muro di ghiaccio su una super- ficie solida entro gittata, modellandolo in una cupola semisferica o in una sfera del raggio massimo di 3 metri, oppure i..."
Level 5,MURO DI PIETRA,"Druido, Mago, Stregone","Tempo di lancio: azione Gittata: 36 metri Componenti: V, S, M (un cubo di granito) Durata: concentrazione, fino a 1 0  minuti Un muro non magico di solida pietra si materializza in un punto a scelta dell'incantatore situato entro gittata. Il muro è spesso 15 cm ed è composto da pannelli con lato di ..."
Level 6,MURO DI SPINE,Druido,"Tempo di lancio: azione Gittata: 36 metri Componenti: V, S, M (una manciata di spine) Durata: concentrazione, fino a 1 0  minuti L'incantatore crea un muro di rovi irto di spine affilate. Il muro appare entro gittata su una superficie solida e per­ mane per tutta la durata dell'incantesimo. L'incant..."
Level 3,MURO DI VENTO,"Druido, Ranger","Tempo di lancio: azione Gittata: 36 metri Componenti: V, S, M (un ventaglio e una piuma) Durata: concentrazione, fino a 1 minuto Un muro di vento forte si solleva dal terreno in un punto a scelta dell'incantatore situato entro gittata. Il muro può essere lungo fino a 15 metri, alto 4,5 metri e spess..."
Level 9,MURO PRISMATICO,"Bardo, Mago","Tempo di lancio: azione Gittata: 18 metri Componenti: V, S Durata: 1 0  minuti Un piano scintillante di luce multicolore forma un muro opaco verticale (che può misurare fino a 27 metri di lunghezza, 9 metri di altezza e 2,5 centimetri di spes­ sore), centrato su un punto entro gittata. In alternativ..."
Level 2,NUBE DI PUGNALI,"Bardo, Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: 18 metri Componenti: V, S, M (una scheggia di vetro) Durata: concentrazione, fino a l minuto L'incantatore evoca pugnali turbinanti che riempiono l'area di un cubo con spigolo di 1,5 metri centrato su un punto entro gittata. Ogni creatura nell'area subisce 4d4 danni ..."
Level 8,NUBE INCENDIARIA,"Druido, Mago, Stregone","Tempo di lancio: azione Gittata: 45 metri Componenti: V, S Durata: concentrazione, fino a l minuto Una nube turbinante di fumo e tizzoni incandescenti appare in una sfera del raggio di 6 metri centrata su un punto entro gittata. L'area coperta dalla nuvola è pesantemente oscurata. La nube permane pe..."
Level 3,NUBE MALEODORANTE,"Bardo, Mago, Stregone","Tempo di lancio: azione Gittata: 27 metri Componenti: V, S, M (un uovo marcio) Durata: concentrazione, fino a 1 minuto L'incantatore genera una sfera di gas nauseante giallastro del raggio di 6 metri centrata su un punto entro gittata. La nube è pesantemente oscurata e rimane attiva per la durata de..."
Level 5,NUBE MORTALE,"Mago, Stregone","Tempo di lancio: azione Gittata: 36 metri Componenti: V, S Durata: concentrazione, fino a 1 0  minuti L'incantatore genera una sfera di nebbia giallo-verdastra del raggio di 6 metri centrata su un punto entro gittata. La nebbia permane la durata dell'incantesimo o finché un vento forte (come quello ..."
Level 4,OCCHIO ARCANO,Mago,"Tempo di lancio: azione Gittata: 9 metri Componenti: V, S, M (un ciuffo di peli di pipistrello) Durata: concentrazione, fino a 1 ora L'incantatore crea un occhio invisibile e invulnerabile che fluttua per la durata dell'incantesimo entro la sua gittata. L'incantatore riceve informazioni visive dall'..."
Level 5,ONDA DISTRUTTIVA,Paladino,"Tempo di lancio: azione Gittata: incantatore Componenti: V Durata: istantanea Un'ondata di energia distruttiva si propaga dall'incanta­ tore in un'emanazione di 9 metri. Ogni creatura scelta dall'incantatore all'interno dell'emanazione effettua un tiro salvezza su Costituzione. Se lo fallisce, il be..."
Level 2,OSCURITÀ,"Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: 18 metri Componenti: V, M (pelo di pipistrello e un pezzo di carbone) Durata: concentrazione, fino a 1 O minuti Per la durata dell'incantesimo, un'oscurità magica si estende da un punto entro gittata e riempie una sfera del raggio di 4,5 metri. Una creatura dotata di..."
Level 3,PALLA DI FUOCO,"Mago, Stregone","Tempo di lancio: azione Gittata: 45 metri Componenti: V, S, M (una pallina di guano di pipistrello e zolfo) Durata: istantanea Una scia di luce brillante parte dall'incantatore e sfreccia fino a un punto a sua scelta entro gittata, provocando un'esplosione infuocata con un profondo boato. Ogni creat..."
Level 7,PALLA DI FUOCO RITARDATA,"Mago, Stregone","Tempo di lancio: azione Gittata: 45 metri Componenti: V, S, M (una pallina di guano di pipistrello e zolfo) Durata: concentrazione, fino a 1 minuto Un raggio d i  luce gialla s i  sprigiona dall'incantatore per poi condensarsi in un punto a sua scelta entro gittata, formando una sfera scintillante c..."
Level 3,PARLARE CON I MORTI,"Bardo, Chierico, Mago","Tempo di lancio: azione Gittata: 3 metri Componenti: V, S, M (incenso bruciato) Durata: 1 0  minuti L'incantatore conferisce una parvenza di vita a un cadavere a sua scelta situato entro gittata, permettendogli di rispondere alle domande che gli vengono poste. Il cada­ vere deve avere la bocca e, se..."
Level 3,PARLARE CON I VEGETALI,"Bardo, Druido, Ranger","Tempo di lancio: azione Gittata: incantatore Componenti: V, S Durata: 1 0  minuti UN D R U I D O  U M A N O  U S A PARLARE CON GLI ANIMALI P E R  C: H I AC:C:H I E R A R E  C: O N  I L S U O  M I G L I O R E  A M I C O  O R S O . L'incantatore infonde nei vegetali in un'emanazione fissa di 9 metri u..."
Level 7,PAROLA DEL POTERE FORTIFICARE,"Bardo, Chierico","Tempo di lancio: azione Gittata: 18 metri Componente: V Durata: istantanea L'incantatore fortifica fino a sei creature entro gittata che è in grado di vedere. L'incantesimo conferisce 120 punti ferita temporanei, che l'incantatore divide tra i bersagli dell'incantesimo. PAROLA DEL POTERE GUARIRE"
Level 9,PAROLA DEL POTERE GUARIRE,"Bardo, Chierico","Tempo di lancio: azione Gittata: 18 metri Componente: V Durata: istantanea Un'ondata di energia curativa investe una creatura entro gittata che l'incantatore è in grado di vedere. Il bersaglio recupera tutti i suoi punti ferita. Se la creatura è affasci­ nata, avvelenata, paralizzata, spaventata o s..."
Level 8,PAROLA DEL POTERE STORDIRE,"Bardo, Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: 18 metri Componenti: V Durata: istantanea L'incantatore sconvolge la mente di una creatura situata entro gittata che è in grado di vedere. Se il bersaglio pos­ siede 150 punti ferita o meno, è stordito. Altrimenti, la SU!l velocità è pari a O fino all'inizio del turn..."
Level 9,PAROLA DEL POTERE UCCIDERE,"Bardo, Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: 18 metri Componente: V Durata: istantanea L'incantatore costringe una creatura entro gittata che è in grado di vedere a morire. Se il bersaglio possiede 100 punti ferita o meno, muore. Altrimenti, subisce 12d12 danni psichici. PAROLA DEL RITIRO"
Level 6,PAROLA DEL RITIRO,Chierico,"Tempo di lancio: azione Gittata: 1, S metri Componenti: V Durata: istantanea L'incantatore e un massimo di cinque creature consen­ zienti entro 1,5 metri da lui si teletrasportano imme­ diatamente in un santuario indicato in precedenza. L'incantatore e le creature che si teletrasportano con lui appa..."
Level 7,PAROLA DIVINA,Chierico,"Tempo di lancio: azione bonus Gittata: 9 metri Componenti: V Durata: istantanea L'incantatore pronuncia una parola pervasa di potere dei Piani Superiori. Ogni creatura a sua scelta situata entro gittata effettua una tiro salvezza su Carisma. In caso di fallimento, un bersaglio che ha 50 punti ferita..."
Level 3,PAROLA GUARITRICE DI MASSA,"Bardo, Chierico",Tempo di lancio: azione bonus Gittata: 18 metri Componenti: V Durata: istantanea Fino a sei creature a scelta dall'incantatore entro gittata e che egli è in grado di vedere recuperano un ammontare di punti ferita pari a 2d4 più il modificatore di caratteri­ stica da incantatore dell'incantatore. Uti...
Cantrip,PAROLA RADIOSA,Chierico,"Tempo di lancio: azione Gittata: incantatore Componenti: V, M (un gettone di esplosione solare) Durata: istantanea Dall'incantatore fuoriesce una radiosità bruciante in un'emanazione di 1,5 metri. Ogni creatura a sua scelta che è in grado di vedere deve superare un tiro salvezza su Costituzione, alt..."
Level 5,PASSAPARETI,Mago,"Tempo di lancio: azione Gittata: 9 metri Componenti: V, S, M (un pizzico di semi di sesamo) Durata: 1 ora L'incantatore sceglie un punto entro gittata e che è in grado di vedere su una superficie di legno, pietra o into­ naco (come una parete, un soffitto o un pavimento), dove si apre un passaggio c..."
Level 2,PASSARE SENZA TRACCE,"Druido, Ranger","Tempo di lancio: azione Gittata: incantatore Componenti: V, S, M (ceneri di vischio bruciato) Durata: concentrazione, fino a 1 ora L'incantatore irradia un'aura occultante in un'emana­ zione di 9 metri per la durata dell'incantesimo. Finché si trovano nell'aura, l'incantatore e ogni creatura a sua s..."
Level 2,PASSO VELATO,"Mago, Stregone, Warlock",Tempo di lancio: azione bonus Gittata: incantatore Componenti: V Durata: istantanea L'incantatore è avvolto per un istante da una foschia argentata e si teletrasporta di un massimo di 9 metri fino a uno spazio libero che è in grado di vedere. PASSO VELOCE
Level 1,PASSO VELOCE,"Bardo, Druido, Mago, Ranger","Tempo di lancio: azione Gittata: contatto Componenti: V, S, M (un pizzico di terriccio) Durata: 1 ora L'incantatore tocca una creatura, la cui velocità aumenta di 3 metri fino al termine dell'incantesimo. Utilizzo di uno slot incantesimo di livello superiore. L'incantatore può bersagliare una creatu..."
Level 3,PAURA,"Bardo, Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: incantatore Componenti: V, S, M (una piuma bianca) Durata: concentrazione, fino a 1 minuto Ogni creatura entro un cono di 9 metri deve superare un tiro salvezza su Saggezza, altrimenti lascia cadere ciò che tiene in mano e diventa spaventata per la durata dell'incant..."
Level 2,PELLE CORIACEA,"Druido, Ranger","Tempo di lancio: azione bonus Gittata: contatto Componente: V, S, M (un pezzo di corteccia) Durata: 1 ora L'incantatore tocca una creatura consenziente. Fino al termine dell'incantesimo, la pelle del bersaglio assume l'aspetto della corteccia. Inoltre, il bersaglio ha una Classe Armatura di 17 se la..."
Level 4,PELLE DI PIETRA,"Druido, Mago, Ranger, Stregone","Tempo di lancio: azione Gittata: contatto Componenti: V, S, M (polvere di diamante del valore di 1 00 mo o più, che l ' incantesimo consuma) Durata: concentrazione, fino a 1 ora Fino al termine dell'incantesimo, una creatura consen­ ziente toccata dall'incantatore avrà resistenza a danni contundenti..."
Level 2,PERCEZIONE DELLE BESTIE,"Druido, Ranger","Tempo di lancio: azione o rituale Gittata: contatto Componenti: S Durata: concentrazione, fino a l ora L'incantatore tocca una bestia consenziente. Per la durata dell'incantesimo, l'incantatore può percepire il mondo attraverso i propri sensi e quelli della bestia. Quando lo percepisce attraverso i ..."
Level 5,PIAGA DEGLI INSETTI,"Chierico, Druido, Stregone","Tempo di lancio: azione Gittata: 90 metri Componenti: V, S, M (una locusta) Durata: concentrazione, fino a 10 minuti Uno sciame di locuste riempie una sfera del raggio di 6 metri centrata su un punto a scelta dell'incantatore situato entro gittata. La sfera permane per la durata dell'incantesimo, la..."
Level 4,PORTA DIMENSIONALE,"Bardo, Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: l SO metri Componenti: V Durata: istantanea L'incantatore si teletrasporta in un punto entro gittata arrivando precisamente nel luogo desiderato, che può essere un punto che è in grado di vedere, che riesce a visualizzare o che è in grado di descrivere dichiarandone ..."
Level 9,PORTALE,"Chierico, Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: 18 metri Componenti: V, S, M (un diamante del valore di 5.000 mo o più) Durata: concentrazione, fino a 1 minuto L'incantatore evoca un portale che collega uno spazio libero che è in grado di vedere entro gittata a un luogo preciso su un piano di esistenza differente...."
Level 6,PORTALE ARCANO,"Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: 1 50 metri Componenti: V, S Durata: concentrazione, fino a 1 0  minuti L'incantatore crea dei portali di teletrasporto collegati e sceglie due spazi liberi del terreno che è in grado di vedere, uno entro gittata e l'altro entro 3 metri da sé. In ogni spazio scelto, s..."
Level 2,PREGHIERA DI GUARIGIONE,"Chierico, Paladino","Tempo di lancio: 1 0  minuti Gittata: 9 metri Componenti: V Durata: istantanea Fino a cinque creature a scelta dell'incantatore, situate entro gittata per l'intera durata del lancio dell'incante­ simo, ottengono i benefici di un riposo breve e recuperano 2d8 punti ferita. Una creatura non può essere..."
Level 2,PRESAGIO,"Chierico, Druido, Mago","Tempo di lancio: 1 minuto o rituale Gittata: incantatore Componenti: V, S, M (bastoncini, ossa, carte o altri oggetti da divinazione dotati di contrassegni speciali, del valore di 25 mo o più) Durata: istantanea L'incantatore riceve un presagio da un'entità ultraterrena sui risultati di un corso d'a..."
Level 5,PRESENZA REGALE DI YOLANDE,"Bardo, Mago","Tempo di lancio: azione Gittata: incantatore Componente: V, S, M (una tiara in miniatura) Durata: concentrazione, fino a l minuto L'incantatore si circonda di una maestosità ultraterrena in un'emanazione di 3 metri. Ogni volta che l'emanazione entra nello spazio di una creatura che l'incantatore è i..."
Cantrip,PRESTIDIGITAZIONE,"Bardo, Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: 3 metri Componenti: V, S Durata: fino a l ora L'incantatore crea un effetto magico entro gittata, sce­ gliendolo tra quelli illustrati di seguito. Se l'incantatore lancia questo incantesimo più volte, può tenere attivi fino a tre dei suoi effetti non istantanei conte..."
Level 9,PREVISIONE,"Bardo, Druido, Mago, Warlock","Tempo di lancio: l minuto Gittata: contatto Componenti: V, S, M (una piuma di colibrì) Durata: 8 ore L'incantatore tocca una creatura consenziente e le conferisce una capacità limitata di vedere nell'immediato futuro. Per la durata dell'incantesimo, il bersaglio dispone di vantaggio alle prove con d..."
Cantrip,PRODURRE FIAMMA,Druido,"Tempo di lancio: azione bonus Gittata: incantatore Componenti: V, S Durata: 1 0  minuti Una fiamma tremolante compare nella mano dell'incanta­ tore e permane per la durata dell'incantesimo. La fiamma non emette calore e non può incendiare nulla; emana luce intensa in un raggio di 6 metri e luce fioc..."
Level 6,PROIBIZIONE,Chierico,"Tempo di lancio: 1 0  minuti o rituale Gittata: contatto Componenti: V, S, M (polvere di rubino del valore d i  1 .000 mo o più) Durata: l giorno L'incantatore crea una difesa contro i viaggi magici che protegge un'area quadrata di terreno con lato di 60 metri e un'altezza di massimo 9 metri. Per la..."
Level 9,PROIEZIONE ASTRALE,"Chierico, Mago, Warlock","Tempo di lancio: 1 ora Gittata: 3 metri Componenti: V, S, M (per ogni bersaglio dell'incantesimo, l'incantatore deve possedere un giacinto del valore di 1 .000 mo o più e u n  lingotto d'argento del valore di 1 00 mo o più; l'incantesimo consuma entrambi) Durata: finché non viene dissolto L'incantat..."
Level 2,PROTEZIONE DAI VELENI,"Chierico, Druido, Paladino, Ranger","Tempo di lancio: azione Gittata: contatto Componenti: V, S Durata: 1 ora L'incantatore tocca una creatura e pone fine alla condi­ zione avvelenato che la affligge. Per la durata dell'incan­ tesimo, il bersaglio dispone di vantaggio ai tiri salvezza eseguiti per evitare o terminare la condizione avve..."
Level 3,PUNIZIONE ACCECANTE,Paladino,Tempo di lancio: azione bonus che l'incantatore effettua subito dopo aver colpito una creatura con un'arma da mischia o con un colpo senz'armi Gittata: incantatore Componente: V Durata: 1 minuto Il bersaglio colpito subisce 3d8 danni radiosi extra dall'at­ tacco e rimane accecato fino al termine del...
Level 1,PUNIZIONE COLLERICA,Paladino,"Tempo di lancio: azione bonus che l'incantatore effettua subito dopo aver colpito una creatura con un'arma da mischia o con un colpo senz'armi Gittata: incantatore Componente: V Durata: 1 minuto L'attacco infligge ld6 danni necrotici extra al bersaglio, che deve superare un tiro salvezza su Saggezza..."
Level 4,PUNIZIONE DEMORALIZZANTE,Paladino,Tempo di lancio: azione bonus che l'incantatore effettua subito dopo aver colpito una creatura con un'arma da mischia o con un colpo senz'armi Gittata: incantatore Componente: V Durata: istantanea Il bersaglio subisce 4d6 danni psichici extra dall'attacco e deve superare un tiro salvezza su Saggezza...
Level 1,PUNIZIONE DIVINA,Paladino,Tempo di lancio: azione bonus che l ' incantatore effettua subito dopo aver colpito un bersaglio con un'arma da mischia o con u n  colpo senz'armi Gittata: incantatore Componente: V Durata: istantanea Il bersaglio subisce 2d8 danni radiosi extra dall'attacco. I danni aumentano di ld8 se il bersaglio...
Level 5,PUNIZIONE ESILIANTE,Paladino,"Tempo di lancio: azione bonus che l'incantatore effettua subito dopo aver colpito una creatura con un'arma da mischia o con u n  colpo senz'armi Gittata: incantatore Componente: V Durata: concentrazione, fino a 1 minuto Il bersaglio colpito dal tiro per colpire subisce SdlO danni da forza extra dall..."
Level 2,PUNIZIONE SPLENDENTE,Paladino,"Tempo di lancio: azione bonus che l'incantatore effettua subito dopo aver colpito una creatura con un'arma da mischia o con un colpo senz'armi Gittata: incantatore Componente: V Durata: concentrazione, fino a 1 minuto L'attacco infligge 2d6 danni radiosi extra al bersaglio. Fino al termine dell'inca..."
Level 1,PUNIZIONE TONANTE,Paladino,Tempo di lancio: azione bonus che l'incantatore effettua subito dopo aver colpito un bersaglio con un'arma da m ischia o con un col po senz'armi Gittata: incantatore Componente: V Durata: istantanea Il colpo sferrato dall'incantatore risuona di un rombo tonante udibile entro 90 metri e l'attacco inf...
Level 1,PURIFICARE CIBO E BEVANDE,"Chierico, Druido, Paladino","Tempo di lancio: azione o rituale Gittata: 3 metri Componenti: V, S Durata: istantanea L'incantatore rimuove veleno e marciume da cibi e bevande non magici situati in una sfera del raggio di 1,5 metri centrata su un punto entro gittata. RAFFICA DI SPINE Evocazione di 1 ° livello (ranger) Tempo di la..."
Level 2,RAGGIO DI AFFATICAMENTO,"Mago, Warlock","Tempo di lancio: azione Gittata: 18 metri Componenti: V, S Durata: concentrazione, fino a 1 minuto Un raggio di energia logorante scaturisce dall'incantatore verso una creatura entro gittata. Il bersaglio deve effet­ tuare un tiro salvezza su Costituzione. In caso di successo, fino all'inizio del tu..."
Cantrip,RAGGIO DI GELO,"Mago, Stregone","Tempo di lancio: azione Gittata: 18 metri Componenti: V, S Durata: istantanea Un raggio gelido di luce bianco-azzurra sfreccia verso una creatura entro gittata, contro cui l'incantatore effettua un attacco a distanza con incantesimo. Se il colpo va a segno, il bersaglio subisce ld8 danni da freddo e..."
Level 2,RAGGIO ROVENTE,"Mago, Stregone","Tempo di lancio: azione Gittata: 36 metri Componenti: V, S Durata: istantanea L'incantatore lancia tre raggi di fuoco contro uno o più bersagli entro gittata. Con questo incantesimo, l'incanta­ tore effettua un attacco a distanza per ogni raggio. Se il colpo va a segno, il bersaglio subisce 2d6 dann..."
Level 2,RAGNATELA,"Mago, Stregone","Tempo di lancio: azione Gittata: 18 metri Componenti: V, S, M (un frammento di ragnatela comune) Durata: concentrazione, fino a 1 ora L'incantatore evoca un ammasso di ragnatele appiccicose in un punto entro gittata, che riempiono un cubo con spigolo di 6 metri per la durata dell'incantesimo. Le rag..."
Level 4,RAMPICANTE AFFERRANTE,"Druido, Ranger","Tempo di lancio: azione bonus Gittata: 18 metri Componenti: V, S Durata: concentrazione, fino a 1 minuto L'incantatore evoca un rampicante che spunta da una superficie in uno spazio libero entro gittata e che è in grado di vedere. Il rampicante permane per la durata dell'incantesimo. L'incantatore e..."
Cantrip,RANDELLO INCANTATO,Druido,"Tempo di lancio: azione bonus Gittata: incantatore Componenti: V, S, M (vischio) Durata: 1 minuto Un randello o un bastone ferrato impugnato dall'incan­ tatore è pervaso dal potere della natura. Per la durata dell'incantesimo, l'incantatore usa la propria caratteristica da incantatore anziché la For..."
Level 7,REGGIA MERAVIGLIOSA DI MORDENKAINEN,"Bardo, Mago","Tempo di lancio: 1 minuto Gittata: 90 metri Componenti: V, S, M (una miniatura di una porta del valore di 1 5  mo o più) Durata: 24 ore L'incantatore evoca una porta scintillante entro gittata che permane per la durata dell'incantesimo. La porta, larga 1,5 metri e alta 3 metri, conduce a una dimora ..."
Level 5,REINCARNAZIONE,Druido,"Tempo di lancio: 1 ora Gittata: contatto Componenti: V, S, M (oli rari del valore di 1 .000 mo o più, che l'incantesimo consuma) Durata: istantanea L:incantatore tocca un umanoide defunto o una parte di umanoide defunto. Se la creatura non è morta da più di 10 giorni, l'incantesimo le forma un nuovo..."
Cantrip,RESISTENZA,"Chierico, Druido","Tempo di lancio: azione Gittata: contatto Componente: V, S Durata: concentrazione, fino a 1 minuto L'incantatore tocca una creatura consenziente e sceglie un tipo di danno: acido, contundente, freddo, fulmine, fuoco, necrotico, perforante, radioso, tagliente, tuono, veleno. Quando una creatura subis..."
Level 3,RESPIRARE SOTT'ACQUA,"Druido, Mago, Ranger, Stregone","Tempo di lancio: azione o rituale Gittata: 9 metri Componenti: V, S, M (un piccolo giunco) Durata: 24 ore Questo incantesimo concede a un massimo di dieci crea­ ture consenzienti entro gittata (a scelta dell'incantatore) la capacità di respirare sott'acqua per tutta la sua durata. Le creature influe..."
Level 7,RESURREZIONE,"Bardo, Chierico","Tempo di lancio: 1 ora Gittata: contatto Componenti: V, S, M (un diamante del valore di 1 .000 mo o più, che l'incantesimo consuma) Durata: istantanea L'incantatore tocca e resuscita una creatura morta da non più di un secolo, che non sia morta di vecchiaia e che non fosse un non morto al momento de..."
Level 9,RESURREZIONE PURA,"Chierico, Druido","Tempo di lancio: l ora Gittata: contatto Componenti: V, S, M (diamanti del valore di 25.000 mo o più, che vengono consumati dall'incantesimo) Durata: istantanea L'incantatore tocca una creatura morta da non più di 200 anni a causa di un qualsiasi motivo fuorché la vecchiaia. Il bersaglio viene riani..."
Level 5,RIANIMARE MORTI,"Bardo, Chierico, Paladino","Tempo di lancio: l ora Gittata: contatto Componenti: V, S, M (un diamante del valore di 500 mo o più, che l'incantesimo consuma) Durata: istantanea Con un tocco, l'incantatore riporta in vita una creatura morta, purché non sia deceduta da più di 10 giorni e non fosse un non morto al momento della mo..."
Level 4,RICHIAMA ABERRAZIONE,"Mago, Warlock","Tempo di lancio: azione Gittata: 27 metri Componenti: V, S, M (un tentacolo in salamoia e un bulbo oculare in una fiala intarsiata di platino del valore di 400 mo o più) Durata: concentrazione, fino a 1 ora L'incantatore invoca uno spirito aberrante, che si manife­ sta in uno spazio libero entro git..."
Level 2,RICHIAMA BESTIA,"Druido, Ranger","Tempo di lancio: azione Gittata: 27 metri Componenti: V, S, M (una piuma, un ciuffo di peli e una coda di pesce all'interno di una ghianda dorata del valore di 200 mo o più) Durata: concentrazione, fino a 1 ora L'incantatore invoca uno spirito bestiale che si manifesta in uno spazio libero entro git..."
Level 5,RICHIAMA CELESTIALE,"Chierico, Paladino","Tempo di lancio: azione Gittata: 27 metri Componenti: V, S, M (un reliquiario del valore di 500 mo o più) Durata: concentrazione, fino a 1 ora L'incantatore invoca uno spirito celestiale, che si manife­ sta in forma angelica in uno spazio libero entro gittata che egli sia in grado di vedere e utiliz..."
Level 4,RICHIAMA COSTRUTTO,Mago,"Tempo di lancio: azione Gittata: 27 metri Componenti: V, S, M (una cassaforte del valore di 400 mo o più) Durata: concentrazione, fino a l ora L'incantatore invoca lo spirito di un costrutto, che si manifesta in uno spazio libero entro gittata che egli sia in grado di vedere e utilizza la scheda del..."
Level 5,RICHIAMA DRAGO,Mago,"Tempo di lancio: azione Gittata: 18 metri Componenti: V, S, M (un oggetto su cui è incisa l'immagine di un d rago, del valore di 500 mo o più) Durata: concentrazione, fino a 1 ora L'incantatore invoca uno spirito di drago, che si manifesta in uno spazio libero entro gittata che egli sia in grado di ..."
Level 4,RICHIAMA ELEMENTALE,"Druido, Mago, Ranger","Tempo di lancio: azione Gittata: 27 metri Componenti: V, S, M (aria, un sassolino, cenere e acqua all'interno di una fiala intarsiata d'oro del valore di 400 mo o più) Durata: concentrazione, fino a 1 ora L'incantatore invoca uno spirito elementale, che si manifesta in uno spazio libero entro gittat..."
Level 3,RICHIAMA FOLLETTO,"Druido, Mago, Ranger, Warlock","Tempo di lancio: azione Gittata: 27 metri Componenti: V, S, M (un fiore dorato del valore di 300 mo o più) Durata: concentrazione, fino a 1 ora L'incantatore invoca uno spirito fatato, che si manifesta in uno spazio libero entro gittata che egli sia in grado di vedere e utilizza la scheda delle stat..."
